"paperName","researcher","journal","citations","year"
"Empirical Implications of Infrequent Purchase Behavior in a Stock-Adjustment Model","W Adams, AM Aizcorbe, AM Aizcorbe, C Winston, A Friedlaender, ...","Strategic Adjustment of Price by Japanese and American Automobile …, 1993","","1993"
"[BOOK REVIEW] Understanding consumption","A Deaton","Manchester School of Economic and Social Studies 61, 447-448, 1993","","1993"
"The microeconomics and macroeconomics ofthe permanent income hypothesis","A Deaton","","","1992"
"LSMS Working Paper","A Deaton, F Grimard","World Bank, 1992","","1992"
"Estimation and comparison of two simple models of equivalence scales for the cost of children.","H Sengul, A Bosh-Domenech, A Deaton, J Muellbauer, AS Deaton, ...","Journal of Applied Sciences 6 (5), 1589-1595, 1991","","1991"
"Brown, J. 41 Brunei, IK 39 Bulmer, M. 185,191 Burtless, G. 121 Cmnd. 555 100","P Anderson, K Arrow, M Ashmore, AB Atkinson, J Austen, WR Avison, ...","Dependency to Enterprise, 230, 1991","","1991"
"Carter, Jimmy, 78 Caves, Richard E., 33, 60, 117, 152n20, 167n2, 229, 291n8 Cheh, JH, 117","J Chipman, B Balassa, M Bale, DS Ball, D Barnett, T Bergstrom, ...","Empirical studies of commercial policy 309, 315, 1991","","1991"
"extension and Indonesian results. Price elasticities from survey data","A Deaton","Washington, DC, 1990","","1990"
"EILE O0PY","A Deaton","","","1990"
"THE WORLD BANK ECONOMIC REVIEW","A Deaton, R Anand, S van Wijnbergen, TN Srinivasan, J van der Gaag, ...","","","1989"
"FILE COPY, 8","A Deaton","","","1989"
"Agricultural Pricing And Demand Patterns In Thailand","A Deaton","Princeton, Woodrow Wilson School-Development Studies, 1988","","1988"
"The demand for personal travel in developing countries; report and supplement","A Deaton, D Thomas, J Neelin, N Bhattacharya","","","1987"
"LSMS Working Paper Number 39","A Deaton","","","1987"
"DESIGN OF RURAL TRAVEL SURVEY. THE DEMAND FOR PERSONAL TRAVEL IN DEVELOPING COUNTRIES, CHAPTER 3. DISCUSSION PAPER","A Deaton, N Bhattacharya","","","1987"
"allocation of goods with the household","A Deaton","Population and Human Resources Dept., World Bank, 1987","","1987"
"Essays in the Theory and Measurement of Consumer Behaviour, in Honour of Sir Richard Stone","A Lopez-Claros","Southern Economic Journal 50 (3), 930-931, 1984","","1984"
"The Estimation of Systems of Demand Equations: A Comment on Deaton","DR Holden, A Deaton","University of Strathclyde, Department of economics, 1983","","1983"
"SYuS-|","A DEATON","Journal of Public Economics 20, 333-346, 1983","","1983"
"Experiments on Decisions under Risk: the Expected Utility Hypothesis","L Peccati","Giornale degli Economisti e Annali di Economia 40 (5/6), 392-393, 1981","","1981"
"The Editors and Associate Editors of the Journal of Econometrics wish to express their appreciation to the following persons who acted as referees in preparing Volumes 15, 16 …","B ABRAHAM, H AKAIKE, R ANDERSON, A AND, C ANSLEY, ...","Journal of Econometrics 17, 397-398, 1981","","1981"
"Statistical Analysis System (SAS) Users Guide.","AM Al-Shuaibi, A Deaton, J Muellbauer, B Dhehibi, JM Gil, EZ Elhawary, ...","Trends in Agricultural Economics 4 (1), 312-326, 1980","","1980"
"PAKISTAN DEVELOPMENT","SNH Naqvi, A Bhaduri, PA Yotopoulos, P Streeten, A Bottomley","Pakistan Development Review, 83, 1980","","1980"
"Patterns in Household Demand and Saving","A Deaton","Economica 46 (183), 311-312, 1979","","1979"
"Input-Output Table for India, 1963","I Adelman, CT Morris, I Adelman, CT Morris, S Robinson, MS Ahluwalia, ...","Income Distribution, Growth and Basic Needs in India 14 (special issue), 19-22, 1979","","1979"
"The Price Index.","A Deaton","Journal of the American Statistical Association 74 (365), 251-251, 1979","","1979"
"Long-term Projections of Consumer Demand in the United Kingdom: the Cambridge Growth Model","AS Deaton","Methods of Long-term Planning and Forecasting, 368-381, 1976","","1976"
"Applied Consumption Analysis.","A Deaton","The Economic Journal 85 (339), 674-677, 1975","","1975"
"Econometric Models of Personal Saving: The United Kingdom 1948-1966.","A Deaton","The Economic Journal 85 (338), 404-406, 1975","","1975"
"A Hierarchic Model of Demand","A Deaton","Models and Projections of Demand in Post-War Britain, 157-189, 1975","","1975"
"The Forecasting Mechanism: A Trial Run to 1975","A Deaton","Models and Projections of Demand in Post-War Britain, 190-219, 1975","","1975"
"Utility and Demand Analysis","A Deaton","Models and Projections of Demand in Post-War Britain, 4-20, 1975","","1975"
"Projections for 1975 and 1980","A Deaton","Models and Projections of Demand in Post-War Britain, 220-229, 1975","","1975"
"The Estimation of the Linear Expenditure System","A Deaton","Models and Projections of Demand in Post-War Britain, 34-49, 1975","","1975"
"The Disaggregated Model","A Deaton","Models and Projections of Demand in Post-War Britain, 50-156, 1975","","1975"
"The Linear Expenditure System","A Deaton","Models and Projections of Demand in Post-War Britain, 21-33, 1975","","1975"
"Conclusions: Methodology of Applied Demand Analysis","A Deaton","Models and Projections of Demand in Post-War Britain, 230-239, 1975","","1975"
"Notes on the Parkin-Sumner-Ward Model of Wage Inflation","A Deaton","Department of Applied Economics, University of Cambridge, 1975","","1975"
"Permanent Income, Wealth, and Consumption.","A Deaton","The Economic Journal 84 (333), 200-202, 1974","","1974"
"Models of consumer demand and their application to the United Kingdom.","AS Deaton","University of Cambridge, 1973","","1973"
"WHEN PEOPLE COME FIRST","A Deaton, P Farmer, ME Porter, MC Inhorn","","",""
"Pascal and Francis Bibliographic Databases","F Ramade","","",""
"Digital research ethics–some considerations…","D Massey, A Deaton, T Chatfield, D Kahneman, K Pickett, G King","","",""
"Abrahamese, APJ 81, 86 Abramowitz, M. 449 Adams, EG. 207,227,393 Ali, M. 117","P Allen, TW Anderson, A Ando, CF Ansley, PS Armington, M Artis, J Artus, ...","","",""
"American Economic Journal","V LAVY, A SCHLOSSER, EO ANANAT, O ÅSLUND, PERA EDIN, ...","","",""
"El gran escape: salud, riqueza y los orígenes de la disigualdad/por Angus Deaton.","A Deaton","Sección de obras de economía, 0","",""
"Index Numbers and Optimal Taxation","A DEATON","","",""
"THE Annual Meeting of the Royal Economic Society will be held on Thursday 6 July 1972 at 5 pm at the rooms of the British Academy, Bur lington House. After the formal business …","P Dasgupta, M Abdel-Fadil, M Alierta, PJ Allender, L De, EK Antwi, ...","","",""
"for the Conference on Recent Advances in Consumer Analysis, DELTA, Paris","PAC Browning, A Deaton, TP Schultz, M Rosenzweig","","",""
"Economist's View","A Deaton, N Cartwright","","",""
"Why are Mortality Rates Rising for Middle-Aged White Non-Hispanic Americans? Could it Happen in Europe? 24th Annual Lecture","A Case, A Deaton","","",""
"Over the last 30 years, more and better data have fundamentally changed the practice of both microeconomics and macroeconomics. No new data have been","A Deaton, A Heston","","",""
"ADMATI, ANAT R.: A Noisy Rational Expectations Equilibrium for Multi-Asset Securities","JP BENOIT, VAY KRIssNA, FR Games, MJ BROWNING, M BRowNIrc, ...","","",""
"647 Adult Height and Childhood Disease","C Bozzoli, A Deaton, C Quintana-Domeque, MI Jackson, JJ Sabia, ...","","",""
"Aberg, M. and Persson, H. A Note on Soviet Pricing, Profits and Technological Change 629 Akerlof, GA and Miyazaki, H. The Implicit Contract Theory of Unemployment meets the …","JE Anderson, M Barrow, A Braverman, G Brown, G Chamberlain, ...","","",""
"Abel, AB Assessing Dynamic Efficiency 1 Anderson, SP Demand for Differentiated Products, Discrete Choice Models, and the Characteristics Approach 21 Bagnoli, M. Provision of …","BD Bernheim, S Welfare, R Chambers, A de Palma, AS Deaton, ...","","",""
"Estimating the Commodity Price Model","A Laroque, A Deaton","","",""
"Consumption, Health, Gender, and PovertyApril 8, 2003","AC Case, A Deaton","","",""
"HOUSEHOLD SURVEYS AS A DATA BASE FOR THE","A DEATON","","",""
"European Economic Reviw 6 (1975) 261–273. E North-Holland Publishing Company","AS DEATON","","",""
"Historical analysis of national subjective wellbeing using millions of digitised books: Introducing the HPS Index","S Galiani, P Gertler, R Undurraga, A Case, A Deaton, D Sgroi","","",""
"II Acknowledgement to referees: 2000","R Cookson, J Covey, B Croxson, J Cullis, J Currie, B Davies, A Deaton, ...","","",""
"The Editors and Associate Editors of the Journal of Econometrics wish to express their appreciation to the following persons who acted as referees in preparing Volume 2 (-1974)","B BACON, ME BOCK, JM BRUNDY, VK CHETTV, JP CARPER, ...","","",""
"Research Observer","A Deaton","","",""
"Michal Sznajder, Joanna Staniszewska 23","A DEATON","INTERCATHEDRA, 86, 0","",""
"2017 Author AWARDS","HG Frankfurt, R Sieburth, K Graber, M Lamont, J Osterhammel, J Herrin, ...","","",""
"Consumption, Saving, and Fiscal Policy","DA Wise, AS Deaton","","",""
"World Bank support for the environment: a progress report","A Deaton","The World Bank, 0","",""
"Laos-Southern Provinces Rural Electrification Project","A Deaton","The World Bank, 0","",""
"Asuntos Públicos","A que valen un Premio, A Deaton","","",""
"de vista PUNTO","A Deaton","","",""
"Argentina-Second Social Protection Project (TRABAJAR program)","A Deaton","The World Bank, 0","",""
"India-Second Gujarat Irrigation Project","A Deaton, R Anand, S van Wijnbergen, TN Srinivasan, J van der Gaag, ...","Education projects series; no. PE 24, 0","",""
"Djibouti-Social Development and Public Works Project","A Deaton","The World Bank, 0","",""
"Uruguay-Towards a new role for the state in Uruguay's utilities","A Deaton","The World Bank, 0","",""
"The World Bank economic review 3 (1)","A Deaton, R Anand, S van Wijnbergen, TN Srinivasan, J van der Gaag, ...","Education projects series; no. PE 24, 0","",""
"Philippines-Early Childhood Development Project","A Deaton","The World Bank, 0","",""
"CONTRIBUTORS TO ARTICLES AND SHORTER PAPERS","ZJ Acs, RE Baldwin, L Ball, T Basar, G Becker, JA Bell, Y Benjamini, ...","Young 50, 24, 0","",""
"Index by Author to Volume 22","FZ Ahmed, E Werker, KB Anderson, E Durbin, A Michael, AV Banerjee, ...","","",""
"Index by Author to Volume 20","H David, MG Duggan, A Banerjee, E Duflo, RJ Barro, RM McCleary, G Bel, ...","","",""
"American Economic Journal","M LEVY, B SZENTES, A FRANKEL, DM BERNHOFEN, JC BROWN, ...","","",""
"Russian Federation-housing and utility services: policy priorities for the next stage of reforms","A Deaton","The World Bank, 0","",""
"Brazil-Second Water Sector Modernization Project","A Deaton","The World Bank, 0","",""
"New price adjustments reshape the world, yet again","A Deaton, B Aten","","",""
"What good are children?","A Deaton, A Stone","","",""
"THE DISTRIBUTION OF INCOME AND EXPENDITURE WITHIN THE HOUSEHOLD","PAC Browning, A Deaton, TP Schultz, M Rosenzweig","","",""
"Yemen-Basic Education Expansion Project","A Deaton, A Case","The World Bank, 0","",""
"Education for agriculture and rural development: identifying strategies for meeting future needs","A Deaton, A Case","The World Bank, 0","",""
"Permuted Title Index","GD Hess, AK Kashyap, E Hoffman, NFR Crafts, B Eichengreen, BH Hall, ...","","",""
"The World Bank economic review 7 (3)","L Demery, C Grootaert, D Benjamin, A Deaton, MM Pitt, MR Rosenzweig, ...","The World Bank, 0","",""
"The World Bank economic review 3 (2)","M Syrquin, H Chenery, A Deaton, B Eichengreen, R Portes, S Laird, ...","The World Bank, 0","",""
"Chen, Kun-Ming, 5 Cheng, Leonard K., 231n9 Chinn, MD, 312 Chiyoda, Kunio, 363n14","J Chou, C Arndt, JR Artus, B Ascher, APE Cooperation, B Balassa, P Belin, ...","","",""
"BULLETIN of the OXFORD UNIVERSITY INSTITUTE of ECONOMICS and STATISTICS","AS DEATON, K WIGLEY","","",""
"How Well Do We Measure Development?","M AGLIETTA, S ALKIRE, F BOURGUIGNON, AE CLARK, A DEATON, ...","","",""
"SAVING AND LIQUIDITY CONSTRAINTS BY Auous DEATON1","A DEATON","","",""
"Ekonomiczno-spoleczne uwarunkowania cyberprzestepczosci","JP COTIS, AS DEATON, K DERVIS, M FLEURBAEY, N STERN, ...","","",""
"J-PAL Datasets Research and Teaching Output of the MIT Community","R Chattopadhyay, E Duflo, A Banerjee, A Deaton, R Hanna, S Cole, ...","","",""
"Index by Author to Volume 24","D Acemoglu, JC Aker, IM Mbiti, JD Angrist, JS Pischke, AJ Auerbach, ...","","",""
"Research Observer","P Collier, S Collins, A Deaton, B Eichengreen, H Pack","","",""
"Capítulo 17: Consumo","A DEATON, M GROSH","","",""
"Discussion Paper# 116","A Deaton","","",""
"Tatsuo Hatta Institute of Social and Economic Research Osaka University Ibaraki, Osaka 567, Japan","A Deaton, AM Garber, PJ Gertler, J Gokhale, V Hajivassiliou, F Hayashi, ...","","",""
"Research Observer","S Collins, A Deaton, B Eichengreen, H Pack","","",""
"L. 5JflS OCT. 1981","A Deaton","","",""
"Jeffrey R. Brown John F. Kennedy School of Government Harvard University 79 John F. Kennedy Street","G Burtless, JL Coronado, A Deaton, JE Duggan, D Fullerton, T Glass, ...","","",""
"32 Klaus Schmidt-Hebbel and Luis Servén","TN Srinivasan, TN Srinivasan, L Summers","Economic Review 6, 529-47, 0","",""
